OBJECTID,ID,NAME,ADDRESS,DEPARTMENT,INSTALL_YEAR,PS_14,PS_32,VDRVP_W_S,TOTAL_SITE_SERVERS,MONITOR,EXTERIOR_CAM,INTERIOR_CAM,PTZ_CAM,TOTAL_STATIONARY_CAM,TOTAL_SITE_CAMERA,TOTAL_SITE_CAMERA2,AVAILABLE_CAMERA_PORT,WEB_URL,DESCRIPTION,X,Y,LATITUDE,LONGITUDE,OBJECTID_1,POINT_X,POINT_Y,INSTALL_YE,TOTAL_SITE,EXTERIOR_C,INTERIOR_C,TOTAL_STAT,TOTAL_SI_1,TOTAL_SI_2,AVAILABLE_,DESCRIPTIO
,141,CCTV,100 block M St NW,MPD, , , , , , , , , , , , , , ,Neighborhood,399118.6668,137545.534,38.905767,-77.010161,1,,,,,,,,,,,
,142,CCTV,1500 block 1st St SW,MPD, , , , , , , , , , , , , , ,Neighborhood,398948.3372,133787.2747,38.871911,-77.012119,2,,,,,,,,,,,
,143,CCTV,15th & East Capitol St SE,MPD, , , , , , , , , , , , , , ,Neighborhood,401428.790401,135765.157001,38.889728,-76.983531,3,,,,,,,,,,,
,144,CCTV,18th & D St NE,MPD, , , , , , , , , , , , , , ,Neighborhood,401827.3088,136315.948899,38.894689,-76.978936,4,,,,,,,,,,,
,145,CCTV,19th St & Rosedale St NE,MPD, , , , , , , , , , , , , , ,Neighborhood,401987.039799,136567.3093,38.896953,-76.977094,5,,,,,,,,,,,
,146,CCTV,200 block of K St SW ,MPD, , , , , , , , , , , , , , ,Neighborhood,398776.541999,134513.177699,38.87845,-77.0141,6,,,,,,,,,,,
,452, 10S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , , ,398760.682638,135602.266973,38.888261,-77.014285,7,,,,,,,,,,,
,453,3N,"I-395, CAMERA DIR - NORTH",DDOT, , , , , , , , , , , , , , , ,398800.356981,135535.063492,38.887656,-77.013827,8,,,,,,,,,,,
,454,12S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , , ,398823.028034,135389.321003,38.886343,-77.013566,9,,,,,,,,,,,
,455,Takoma Community Center,300 Van Buren St. NW,DPR, , , , , , ,1,7,0, ,8, , , , ,398435.640497,144552.480001,38.968887,-77.018052,10,,,,,,,,,,,
,456,Harvard Towers,1845 Harvard St NW,DCHA, , , , , , ,8,41, , , , , , , ,396251.079993,140058.040003,38.928393,-77.043235,11,,,,,,,,,,,
,457,Knox Hill,2700 Jasper St SE,DCHA, , , , , , , ,37, , , , , , , ,402672.649995,131606.429996,38.852262,-76.96921,12,,,,,,,,,,,
,458,Potomac Gardens,1225 G Street SE,DCHA, , , , , , ,19, , , , , , , , ,400934.829994,134805.890003,38.881087,-76.989226,13,,,,,,,,,,,
,459,DCHA HQ,1133 North Capitol St NE,DCHA, , , , , , ,5, , , , , , , , ,399284.909998,137468.439997,38.905073,-77.008244,14,,,,,,,,,,,
,460,Evans Middle School,5600 East Capitol St NE,DCPS,1999, , , , , ,7,44, , ,51, , , , ,406885.340499,135830.53,38.890291,-76.920635,15,,,,,,,,,,,
