X,Y,OBJECTID,LATITUDE,LONGITUDE,ROUTES,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_OPS_FTU_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,CREATED_DATE,LAST_EDITED_DATE,BX_UPDATE_DATE,BX_UPDATE_USER,LAST_UPDATE_DATE
-76.984731573426913,38.851839629948685,1,38.851832,-76.984726,,1309706,1000233,2837,PRS,NON,1982-01-31T00:00:00.000Z,REV,BRUCE PL SE,12TH PL SE,217,FAR,N OF 1ST DRWY,12TH PL SE + BRUCE PL SE,,KFH,2006-04-27T00:00:00.000Z,0,UNK,WMAT,N,N,N,N,SWK,CON,NON,N,N,E,5,N,N,N,NON,UNK,,N,N,U,N,N,N,U,U,N,N,N,YUN,,U,Y,U,N,U,U,U,U,,,,,
-77.059779244098962,38.918740622633706,2,38.918733,-77.059774,,1307528,1001726,6988,PRS,NON,1930-09-22T00:00:00.000Z,REV,30TH ST NW,MASSACHUSETTS AVE NW,133,NEX,UNKNOWN,MASSACHUSETTS AVE NW + 30TH ST NW,,KFH,2006-05-23T00:00:00.000Z,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,6,N,Y,N,NON,UNK,4.600000,Y,N,U,Y,Y,N,U,Y,Y,Y,Y,YMR,,N,Y,U,U,U,U,U,U,,,,,
-76.905772515499706,38.897010444101056,3,38.897003,-76.905767,,1301516,3001046,5615,PRS,NON,1901-01-01T00:00:00.000Z,REV,65TH AVE,MARTIN LUTHER KING JR HWY,43,FAR,@ KASH KING STORE,MARTIN LUTHER KING JR HWY + 65TH AVE,,KFH,2006-06-20T00:00:00.000Z,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,3,Y,Y,N,NON,UPV,,N,Y,Y,N,N,Y,Y,U,N,N,N,NPL,,U,N,U,N,U,U,U,U,,,,,
-76.97667242612988,38.898825577713964,4,38.898818,-76.976667,,1307843,1001088,5758,PRS,NON,1975-11-18T00:00:00.000Z,REV,19TH ST NE,BENNING RD NE,102,NEA,LIMITED STOP EXPRESS,BENNING RD NE + 19TH ST NE,,KFH,2009-07-16T00:00:00.000Z,1,INS,UNKW,N,N,N,N,58O,CON,TRC,Y,Y,U,5,N,Y,N,NON,UNK,5.300000,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,NPL,,N,Y,U,N,U,Y,U,U,,,,,
-77.108636236985731,38.841411746004049,5,38.841404,-77.108631,,1312081,4001057,18701,PRS,NON,2014-08-24T00:00:00.000Z,UNK,RT 7 KING ST,BEAUREGARD ST,210,FAR,80' S OF DRWY TO FRIDAYS,BEAUREGARD ST + RT 7 KING ST,,UNK,1900-01-01T00:00:00.000Z,,UNK,UNKW,U,U,U,U,UNK,UNK,UNK,U,U,U,0,U,U,U,UNK,UNK,,U,U,U,U,U,U,U,U,U,U,U,UNK,,U,U,U,U,U,U,U,U,,,,,
-77.236315901956502,38.879350757671361,6,38.879343,-77.236311,,1311979,5004714,18668,PRS,NON,2013-12-29T00:00:00.000Z,UNK,#2710,PROSPERITY AVE,190,ATP,UNKNOWN,PROSPERITY AVE + #2710,,UNK,1900-01-01T00:00:00.000Z,,UNK,UNKW,U,U,U,U,UNK,UNK,UNK,U,U,U,0,U,U,U,UNK,UNK,,U,U,U,U,U,U,U,U,U,U,U,UNK,,U,U,U,U,U,U,U,U,,,,,
-77.011803238588001,38.944237583032539,7,38.94423,-77.011798,,1302179,1002403,8270,PRS,NON,1942-02-24T00:00:00.000Z,REV,WEBSTER ST NW,ROCK CREEK CHURCH RD NW,220,FAR,UNKNOWN,ROCK CREEK CHURCH RD NW + WEBSTER ST NW,,KFH,2006-05-24T00:00:00.000Z,0,UNK,UNKW,N,N,N,N,58U,CON,NON,Y,N,E,6,N,Y,N,NON,UNK,5,N,Y,Y,N,N,N,Y,N,N,N,N,YUN,,U,Y,U,N,U,U,U,U,,,,,
-76.996184252332284,38.919965606929239,8,38.919958,-76.996179,,1302177,1003386,18770,PRS,NON,1976-02-17T00:00:00.000Z,UNK,BUS BAY D,RHODE ISLAND AVE STATION,206,MID,UNKNOWN,RHODE ISLAND AVE STATION + BUS BAY D,TMP,KFH,2006-12-11T00:00:00.000Z,,UNK,UNKW,N,Y,N,Y,58U,CON,NON,Y,N,E,11,Y,Y,N,NON,UNK,,Y,Y,Y,Y,U,U,U,U,Y,N,N,NPL,,U,Y,U,Y,U,U,U,U,,,,,
-76.844562044259845,39.091337332238787,9,39.09133,-76.844557,,1301028,3002917,14712,PRS,NON,2006-05-24T00:00:00.000Z,REV,GREENVIEW DR,LAUREL BOWIE RD,28,FAR,150 FT N OF  ----,LAUREL BOWIE RD + GREENVIEW DR,,KFH,2006-10-27T00:00:00.000Z,0,UNK,UNKW,N,N,N,N,UNK,UNK,UNK,U,N,E,0,U,E,U,UNK,UNK,,N,N,N,N,N,N,N,U,Y,N,N,NPL,,U,N,U,N,U,U,U,U,,,,,
-77.119822171114578,38.893067680148597,10,38.89306,-77.119817,,1304398,6000681,5308,PRS,NON,1901-01-01T00:00:00.000Z,REV,19TH ST N,N GLEBE RD,154,FAX,UNKNOWN,N GLEBE RD + 19TH ST N,,KFH,2007-01-16T00:00:00.000Z,1,INS,UNKW,N,N,N,N,SWK,CON,NON,Y,N,E,5,N,Y,Y,NON,SLP,,N,N,U,Y,N,N,U,N,N,N,N,NPL,,U,Y,U,N,U,U,U,U,,,,,
