X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,ADDRESS,LINE
-76.92812724781794,38.978641439767678,1,mstn_1,College Park-U of Md,http://www.wmata.com/rail/station_detail.cfm?station_id=79,"4931 CALVERT ROAD, COLLEGE PARK, MD","green, yellow"
-76.911810369947219,38.889473645303347,2,mstn_2,Capitol Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=91,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD","blue, orange, silver"
-76.86807701020237,38.893842719150641,3,mstn_3,Morgan Boulevard,http://www.wmata.com/rail/station_detail.cfm?station_id=110,"300 GARRETT MORGAN BLVD., LANDOVER, MD","blue, orange, silver"
-77.023463197213701,38.93744242409133,4,mstn_4,Georgia Ave Petworth,http://www.wmata.com/rail/station_detail.cfm?station_id=76,"3700 GEORGIA AVENUE NW, WASHINGTON, DC","green, yellow"
-77.018178992564557,38.976086332993177,5,mstn_5,Takoma,http://www.wmata.com/rail/station_detail.cfm?station_id=29,"327 CEDAR STREET NW, WASHINGTON, DC",red
-77.05355966951204,39.061791583364311,6,mstn_6,Glenmont,http://www.wmata.com/rail/station_detail.cfm?station_id=34,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red
-77.050109361107531,39.037534956764553,7,mstn_7,Wheaton,http://www.wmata.com/rail/station_detail.cfm?station_id=33,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red
-77.042918858846548,39.014962084100262,8,mstn_8,Forest Glen,http://www.wmata.com/rail/station_detail.cfm?station_id=32,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red
-77.031020125770567,38.993957179810842,9,mstn_9,Silver Spring,http://www.wmata.com/rail/station_detail.cfm?station_id=31,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red
-76.994536568964193,38.933218785528517,10,mstn_10,Brookland-CUA,http://www.wmata.com/rail/station_detail.cfm?station_id=27,"801 MICHIGAN AVENUE NE, WASHINGTON, DC",red
-77.002205364201004,38.951854565233255,11,mstn_11,Fort Totten,http://www.wmata.com/rail/station_detail.cfm?station_id=28,"550 GALLOWAY STREET NE, WASHINGTON, DC","red, green,yellow"
-76.955883781669755,38.965393247954012,12,mstn_12,Prince George's Plaza,http://www.wmata.com/rail/station_detail.cfm?station_id=78,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD","green, yellow"
-76.969578952526447,38.955047970226062,13,mstn_13,West Hyattsville,http://www.wmata.com/rail/station_detail.cfm?station_id=77,"2700 HAMILTON ST., HYATTSVILLE, MD","green, yellow"
-76.938367131914347,38.890983463751681,14,mstn_14,Benning Road,http://www.wmata.com/rail/station_detail.cfm?station_id=90,"4500 BENNING ROAD NE, WASHINGTON, DC","blue, orange, silver"
-76.894110159753112,38.886755605372144,15,mstn_15,Addison Road Seat Pleasant,http://www.wmata.com/rail/station_detail.cfm?station_id=92,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD","blue, orange, silver"
-76.935259046919157,38.908186287852445,16,mstn_16,Deanwood,http://www.wmata.com/rail/station_detail.cfm?station_id=65,"4720 MINNESOTA AVENUE NE, WASHINGTON, DC",orange
-76.871843533075662,38.947792657512245,17,mstn_17,New Carrollton,http://www.wmata.com/rail/station_detail.cfm?station_id=68,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",orange
-76.89120021929206,38.933514032534909,18,mstn_18,Landover,http://www.wmata.com/rail/station_detail.cfm?station_id=67,"3000 PENNSY DRIVE, HYATTSVILLE, MD",orange
-76.916630302633621,38.916639648392717,19,mstn_19,Cheverly,http://www.wmata.com/rail/station_detail.cfm?station_id=66,"5501 COLUMBIA PARK, CHEVERLY, MD 
",orange
-76.844553869450905,38.90060751315341,20,mstn_20,Largo Town Center,http://www.wmata.com/rail/station_detail.cfm?station_id=109," LARGO TOWN CENTER, 9000 LOTTSFORD ROAD, LARGO, MD","blue, orange, silver"
-77.003022732182899,38.907024000728903,21,mstn_21,NoMa - Gallaudet U,http://www.wmata.com/rail/station_detail.cfm?station_id=108,"200 FLORIDA AVENUE NE, WASHINGTON, DC",red
